show,roleId
Adventuring Academy,1257157262204600410
Dimension 20's Adventuring Party,1237941181628026973
Breaking News,1237941036047663125
Dimension 20,1237940635256750153
Dimension 20: Dungeons and Drag Queens,1237940635256750153
Dirty Laundry,1237940715007250482
Dropout Presents,1237940883131727984
Game Changer,1237940683898228788
Game Changer Animated,1237940683898228788
Gastronauts,1275147352415539250
Make Some Noise,1237940697416470629
Monét's Slumber Party,1256323652085878855
Nobody Asked,1307104214312419520
Play It By Ear,1237941210828636241
Smartypants,1237940883438043219
Thousandaires,1237940745122480160
"Um, Actually",1237941030041686139
Very Important People,1237940883161354311
Test,1237874872659742811